n,Join_Time,type 
1,174.50,lan 
2,351.25,lan 
3,639.50,lan 
4,609.38,lan 
5,730.40,lan 
6,698.00,lan 
7,704.71,lan 
8,706.06,lan 
9,706.89,lan 
10,687.60,lan 
11,689.91,lan 
12,677.00,lan 
13,718.23,lan 
14,718.00,lan 
15,751.73,lan 
16,749.59,lan 
17,776.68,lan 
18,773.33,lan 
19,770.11,lan 
20,767.55,lan 
21,757.10,lan 
22,823.02,lan 
23,840.13,lan 
24,855.65,lan 
25,871.48,lan 
26,885.85,lan 
27,917.41,lan 
28,911.48,lan 
29,904.72,lan 
30,915.93,lan 
1,364,wan
2,3038,wan
3,4621,wan
4,4445,wan
5,3336,wan
6,3199,wan
7,2517,wan
8,4233,wan
9,5093,wan
10,2332,wan
11,3870,wan
12,4422,wan
13,3935,wan
14,4730,wan
15,2196,wan
16,5096,wan
17,4634,wan
18,5029,wan
19,3585,wan
20,4606,wan
21,3812,wan
22,3992,wan
23,4840,wan
24,5046,wan
25,5218,wan
26,3215,wan
27,5036,wan
28,5868,wan
29,1803,wan
30,5808,wan
