Join Time,Messages,Location
417,5,Oregon
1824,10,Seoul
3618,13,Sao Paulo
3056,8,Ireland
2053,8,Sydney
3531,25,N. Virginia
4152,13,Tokyo
6799,30,Singpore
4741,13,Oregon
4640,25,Seoul
5878,21,N. Virginia
3959,30,Sao Paulo
5973,28,Tokyo
1049,8,Ireland
5883,26,Singpore
3476,33,Sydney
5122,28,Singpore
4149,31,Seoul
5634,33,N. Virginia
4676,28,Sao Paulo
2231,8,Oregon
6001,47,Sydney
3517,42,Singpore
7198,64,Tokyo
5440,51,Seoul
7164,41,Sao Paulo
7264,42,N. Virginia
6418,51,Oregon
6143,58,Ireland
7214,50,Tokyo
