n,joinTime,msg,Destpeer_selection
1,3170,5,Randomly picked
2,11674,10,Randomly picked
3,12341,11,Randomly picked
4,13220,12,Randomly picked
5,14746,13,Randomly picked
6,14849,14,Randomly picked
7,16814,15,Randomly picked
8,17423,16,Randomly picked
9,18068,17,Randomly picked
10,18193,18,Randomly picked
11,20353,19,Randomly picked
12,20260,20,Randomly picked
13,21184,21,Randomly picked
14,22266,22,Randomly picked
15,23247,23,Randomly picked
16,20916,24,Randomly picked
17,25924,25,Randomly picked
18,26277,26,Randomly picked
19,27912,27,Randomly picked
20,28439,28,Randomly picked
21,29839,29,Randomly picked
22,30979,30,Randomly picked
23,31739,31,Randomly picked
24,31666,32,Randomly picked
25,33339,33,Randomly picked
26,33400,34,Randomly picked
27,29188,35,Randomly picked
28,35680,36,Randomly picked
29,36719,37,Randomly picked
30,37634,38,Randomly picked
31,38977,39,Randomly picked
32,39489,40,Randomly picked
33,40293,41,Randomly picked
34,41812,42,Randomly picked
35,42114,43,Randomly picked
36,43913,44,Randomly picked
37,43983,45,Randomly picked
38,44861,46,Randomly picked
39,43985,35,Randomly picked
40,47551,44,Randomly picked
1,3178,5,Successor
2,9214,9,Successor
3,10626,10,Successor
4,12549,11,Successor
5,12381,12,Successor
6,14926,13,Successor
7,14951,14,Successor
8,16005,15,Successor
9,16900,16,Successor
10,17798,17,Successor
11,18332,18,Successor
12,20138,19,Successor
13,20852,20,Successor
14,21942,21,Successor
15,18700,22,Successor
16,22801,23,Successor
17,23828,24,Successor
18,22128,25,Successor
19,25702,26,Successor
20,27959,27,Successor
21,27342,28,Successor
22,29862,29,Successor
23,29775,30,Successor
24,30394,31,Successor
25,32099,32,Successor
26,32262,33,Successor
27,34932,34,Successor
28,34702,35,Successor
29,34507,36,Successor
30,35390,37,Successor
31,33430,38,Successor
32,38728,39,Successor
33,38552,40,Successor
34,40946,41,Successor
35,40781,42,Successor
36,42816,43,Successor
37,43890,44,Successor
38,43859,45,Successor
39,45953,46,Successor
40,46382,47,Successor
