n,joinTime,msg,strategy
1,3610,5,s2
2,10066,10,s2
3,16156,13,s2
4,9138,8,s2
5,21399,18,s2
6,18585,8,s2
7,23429,21,s2
8,24095,19,s2
9,27086,24,s2
10,25127,8,s2
11,28228,27,s2
12,20413,20,s2
13,35938,35,s2
14,31007,29,s2
15,27504,26,s2
16,36681,35,s2
17,35869,34,s2
18,44025,42,s2
19,33709,31,s2
20,41701,40,s2
21,25111,29,s2
22,51818,52,s2
23,39983,37,s2
24,30547,30,s2
25,38029,36,s2
26,54276,55,s2
27,41652,40,s2
28,58895,64,s2
29,38622,36,s2
30,41315,41,s2
31,67745,71,s2
32,29520,31,s2
33,49455,49,s2
34,55331,59,s2
35,46307,46,s2
36,75357,81,s2
37,71989,75,s2
38,75617,81,s2
39,61320,64,s2
40,69852,70,s2
41,54567,57,s2
42,60233,63,s2
43,41900,43,s2
44,39652,42,s2
45,74155,78,s2
46,76576,83,s2
47,92238,100,s2
48,51865,56,s2
49,99480,107,s2
50,62114,67,s2
51,69812,73,s2
1,6135,5,s1
2,12453,9,s1
3,14147,10,s1
4,11481,8,s1
5,15045,12,s1
6,10877,8,s1
7,17966,14,s1
8,18008,15,s1
9,18634,16,s1
10,10917,8,s1
11,19353,18,s1
12,22124,19,s1
13,22028,20,s1
14,16743,18,s1
15,25141,22,s1
16,24354,23,s1
17,25660,24,s1
18,27514,25,s1
19,29200,26,s1
20,29720,27,s1
21,30904,28,s1
22,33234,29,s1
23,25980,23,s1
24,29968,26,s1
25,34630,32,s1
26,35160,33,s1
27,37091,34,s1
28,37123,35,s1
29,24119,21,s1
30,39096,37,s1
31,39269,38,s1
32,27970,24,s1
33,31311,27,s1
34,34565,32,s1
35,42275,42,s1
36,46169,43,s1
37,43749,44,s1
38,46833,45,s1
39,35671,35,s1
40,45715,44,s1
41,50937,48,s1
42,41772,41,s1
43,33809,30,s1
44,38237,35,s1
45,53369,52,s1
46,50588,53,s1
47,55733,54,s1
48,54834,55,s1
49,56774,56,s1
50,39682,43,s1
51,42264,39,s1
